GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wordcount,com.adp.wordcount.constant,ApplicationConstant,3,0,0,0,1,0,1,0,1,0
wordcount,com.adp.wordcount.models,WordCountResult,72,9,14,0,2,2,13,2,6,2
wordcount,com.adp.wordcount.models,WordCountContent,81,0,14,0,4,0,15,0,8,0
wordcount,com.adp.wordcount.processors,TextFileProcessor,4,0,0,0,2,0,1,0,1,0
wordcount,com.adp.wordcount.processors,FileProcessor,38,4,2,0,11,1,3,1,2,1
wordcount,com.adp.wordcount.processors,MsWordFileProcessor,30,0,0,0,8,0,2,0,2,0
wordcount,com.adp.wordcount.services,WordCountServiceImpl,92,82,0,2,26,16,6,7,6,6
wordcount,com.adp.wordcount.config,ApplicationConfig,14,7,0,0,3,2,4,2,4,2
wordcount,com.adp.wordcount,WordCountApplication,9,23,1,1,3,8,2,3,1,3
wordcount,com.adp.wordcount.facade,WordCountFacade,21,7,0,0,6,2,1,2,1,2
wordcount,com.adp.wordcount.factory,FileProcessorFactory,32,0,3,0,9,0,4,0,2,0
